5000000, 22087.0
5000000, 20490.0
5000000, 23318.0
5000000, 22464.0
2000000, 10668.0
2000000, 8650.0
2000000, 9397.0
2000000, 9073.0
2000000, 9372.0
2000000, 9146.0
1000000, 4206.0
1000000, 4580.0
1000000, 4741.0
1000000, 4571.0
1000000, 4522.0
1000000, 4654.0
500000, 2070.0
500000, 2312.0
500000, 2159.0
500000, 2369.0
500000, 2103.0
500000, 2374.0
500000, 2290.0
200000, 1174.0
200000, 1266.0
200000, 1124.0
200000, 1162.0
200000, 1233.0
200000, 1226.0
200000, 1131.0
200000, 1176.0
200000, 1224.0
100000, 721.0
100000, 774.0
100000, 791.0
100000, 826.0
100000, 821.0
100000, 813.0
100000, 842.0
100000, 799.0
100000, 898.0
100000, 795.0
50000, 563.0
50000, 454.0
50000, 482.0
50000, 525.0
50000, 532.0
50000, 502.0
50000, 565.0
50000, 508.0
50000, 542.0
50000, 576.0
20000, 338.0
20000, 370.0
20000, 363.0
20000, 340.0
20000, 347.0
20000, 374.0
20000, 344.0
20000, 370.0
10000, 318.0
10000, 315.0
10000, 313.0
10000, 294.0
10000, 340.0
10000, 269.0
10000, 275.0
10000, 314.0
10000, 312.0
10000, 308.0
10000, 308.0
10000, 300.0
