5000000, 24674.0, 1
5000000, 24865.0, 1
5000000, 25499.0, 1
5000000, 25868.0, 1
5000000, 13653.0, 2
5000000, 20760.0, 2
5000000, 20728.0, 2
5000000, 20540.0, 2
5000000, 13570.0, 2
5000000, 13785.0, 2
5000000, 20742.0, 2
5000000, 13756.0, 5
5000000, 10694.0, 5
5000000, 13356.0, 5
5000000, 13963.0, 5
5000000, 7033.0, 5
5000000, 7038.0, 5
5000000, 7005.0, 5
5000000, 12526.0, 5
5000000, 6159.0, 10
5000000, 9326.0, 10
5000000, 9310.0, 10
5000000, 9268.0, 10
5000000, 7887.0, 10
5000000, 9337.0, 10
5000000, 9207.0, 10
5000000, 6320.0, 10
5000000, 9429.0, 10
5000000, 7583.0, 25
5000000, 5867.0, 25
5000000, 7338.0, 25
5000000, 6224.0, 25
5000000, 5893.0, 25
5000000, 5838.0, 25
5000000, 7635.0, 25
5000000, 7834.0, 25
5000000, 7493.0, 25
5000000, 6726.0, 50
5000000, 6759.0, 50
5000000, 6543.0, 50
5000000, 6041.0, 50
5000000, 5743.0, 50
5000000, 5578.0, 50
5000000, 5754.0, 50
5000000, 6614.0, 50
5000000, 6696.0, 50
5000000, 6679.0, 50
5000000, 6297.0, 100
5000000, 6268.0, 100
5000000, 6470.0, 100
5000000, 6112.0, 100
5000000, 5675.0, 100
5000000, 5944.0, 100
5000000, 6319.0, 100
5000000, 6332.0, 100
5000000, 6257.0, 100
5000000, 6601.0, 100
5000000, 6275.0, 100
